Handle,Display Name,DID,Follows Me
cocobluesky.bsky.social,Coco Bluesky,did:plc:nei5zaumxnpxst73vg3yavai,True,2024-11-18 15:52:32.248332+00:00
blueeyedbutch.bsky.social,,did:plc:5uvoaqo7wy5qxa25csqggcbd,True,2024-11-18 15:52:32.248334+00:00
rodriguezlisa.bsky.social,Rodriguez Lisa,did:plc:ncnsewf4nstkccjq4qwmvk3y,True,2024-11-18 15:52:32.248337+00:00
kellimims.bsky.social,Kelly,did:plc:e4v72w3e5gcmp6lqc7q6u4lh,True,2024-11-18 15:52:32.248340+00:00
spikehiker.bsky.social,Spike Hiker,did:plc:wwv7plvcbwnkdlacxxr3aix3,True,2024-11-18 15:52:32.248342+00:00
keenjelly.bsky.social,Keen Jelly,did:plc:2bvazvg72nfuhvo5dugnzaoh,True,2024-11-18 15:52:32.248344+00:00
cynthiaharless.bsky.social,🌊Sandy #GunReformNow,did:plc:5dx6zn36g6bz2nb3r6qrhid6,True,2024-11-18 15:52:32.248346+00:00
betsysblue.bsky.social,Betsy,did:plc:gzuzqv7hczyipxj3cblz3nkg,True,2024-11-18 15:52:32.248348+00:00
carebear620.bsky.social,Carrie,did:plc:yopuw2wle7hqczixranpyndd,True,2024-11-18 15:52:32.248350+00:00
cameronlamp.bsky.social,Cameron Lamp,did:plc:6ei72ujrjzgv23d4ou2rkoco,True,2024-11-18 15:52:32.248354+00:00
allentien.bsky.social,"Allen Tien, MD, MHS mdlogix.com 94,698",did:plc:6tc2t4gmbgju74qr5u5ac7tv,True,2024-11-18 15:52:32.248356+00:00
planetjericho.bsky.social,JERiCHO,did:plc:2ch2kdzrgnatjumvrrxp2sgz,True,2024-11-18 15:52:32.248358+00:00
oconnornurse.bsky.social,NurseOConnor,did:plc:hg2xyh2dnmthdm5ziydslzid,True,2024-11-18 15:52:32.248360+00:00
skyrainsfire.swifties.social,justine,did:plc:xjucxbkirqtnyygdwd3jepul,True,2024-11-18 15:52:32.248363+00:00
baddiess.bsky.social,Baddies,did:plc:yd7khz4j2jnwux2auhgbakhn,True,2024-11-18 15:52:32.248365+00:00
dangerousfruit.bsky.social,"Tim, the childless cat dad 🇺🇸🏳️‍🌈🇮🇪",did:plc:avsice755pi5plpzcvihsqhc,True,2024-11-18 15:52:32.248367+00:00
shannonalis.bsky.social,Shannonalis,did:plc:byf4lrvu6emqfftrwnbunfwa,True,2024-11-18 15:52:32.248368+00:00
nebro.bsky.social,NEBRO,did:plc:2uvuiwknitui5dn7ysrygvio,True,2024-11-18 15:52:32.248370+00:00
