Handle,Display Name,DID,Follows Me
trentmannina.bsky.social,Trent,did:plc:ru7j4oi2hz2ckuitjsjgrh63,True
shellsi.bsky.social,Shelly Bremer,did:plc:xbeswsyqvagnti7kv4o4tcx7,True
loriganderson.bsky.social,,did:plc:iydopkl7ru2zi7f5opyzbco7,True
animalavenger.bsky.social,Berni,did:plc:5qlo224b6t54osgzffurdhlk,True
mrclean123.bsky.social,Christopher Lean,did:plc:s5ox32ubzjakhhagzh2xeyri,True
jazzybee1.bsky.social,,did:plc:kekxp63v2jxpejq3dxfchnou,True
cwo-bob.bsky.social,Bob Raymond,did:plc:enm525ebtg3bbr2vemys6jvj,True
mamaramadrama.bsky.social,Cherylin Loney,did:plc:tczbjgvewr4hnufzfqnh4zhh,True
brownsvilleg11.bsky.social,Brownsville Girl,did:plc:cx63d64gexnfq77zgveqjayf,True
speedo19.bsky.social,Bob Earl,did:plc:4uzp2xiurvycbmg2rktgke5q,True
ajpark3r.bsky.social,Alexander,did:plc:ik3belfxah4mo65xorhvm3uk,True
susanriba.bsky.social,Artist,did:plc:y6ocek6wy6vsuhkbmt7wgx3h,True
jlwhitaker.bsky.social,JL_Whitaker,did:plc:oftjs2a6piipqngo6zsoni3z,True
ubahka.bsky.social,Chris Sheldrick,did:plc:56zvhij63brmldvc2b2hyeqm,True
kookyoldbird.bsky.social,Maria von Scrap,did:plc:4tx3jbybtbfq3cozu4p3cyv4,True
ulinga.bsky.social,Ally 🐝,did:plc:uhcp63quqvjuur2ihvftfsof,True
missbee93.bsky.social,,did:plc:bbazsshuu6ue37et646l7574,True
rubykingstudios.bsky.social,RubyKing,did:plc:zahjhlanruppkbvxei77dx7s,True
sujue.bsky.social,Sue,did:plc:cnlbzh3duk5ird6lwv2rwpnk,True
kalpsych.bsky.social,,did:plc:aq5fvxhsqrwa4wf3u32jnxjg,True
136mar631.bsky.social,,did:plc:wzz77hhcgvrz6c2qpatonw3w,True
andythedon.bsky.social,Regurgitating the Noise,did:plc:tbvdvk47334zyrzk4cj2xua6,True
bebopshebop.bsky.social,,did:plc:djygigym2qmgixcldp7vcat2,True
shenanigans330.bsky.social,Tom Phillips* 👁️⃤,did:plc:2ekcobi22wvqjxtosi3g7blr,True
bobchester56.bsky.social,Bob Chester,did:plc:2jcdbe7trrj4z24eihhmjapv,True
sirrobh.bsky.social,Roberson H Collins,did:plc:zes3qyvtecbpxqycpb4tyg7e,True
corgigirl2.bsky.social,,did:plc:dvhuoepbb2nnqdfafzcl7gvz,True
kajamm.bsky.social,Kaj_Amm,did:plc:zxhhz7nlm7ivumuvprekc4zg,True
binx244.bsky.social,Jamie,did:plc:lt57irtl5ojd63wntlntfijn,True
jdubscoach.bsky.social,,did:plc:4r7z4d2ggo7svpookeh7e66m,True
u4me4u.bsky.social,,did:plc:enfiofrkweqbkh5fbaujvaes,True
iflyfast.bsky.social,IFlyFast,did:plc:tmzuonw3nz4345oe4uypsscj,True
tinytornado.bsky.social,alley,did:plc:i3tn6mopedd6bpfdnzpceljn,True
consecutive1234.bsky.social,,did:plc:o4gsanz4pmidsslg2mqu5vaw,True
desert-redbird.bsky.social,,did:plc:cogz346vma6e2rjopdksye2u,True
carpediembabe.bsky.social,CarpeDiemBabe,did:plc:ilquqtxjxehqmfdghwt2mdds,True
mansourdjitte.bsky.social,,did:plc:epw7oo4ksskafiearp23sepl,True
paullllll.bsky.social,Paul,did:plc:usa6zzxsyfu7vyt3ibxyvcdj,True
capp2014.bsky.social,,did:plc:ros56hl4x43icn2wdobvhsbn,True
godzilla911.bsky.social,Godzilla,did:plc:u44oxtqql3grjbwffnlzwnlv,True
anarchistgardener.bsky.social,Jane Got Old,did:plc:hy6vpjfopqmndcudaiclty3s,True
bookshelfie.bsky.social,Bookshelfie,did:plc:kthwu6mpwb56qwdm2ipaxciw,True
docchocolate.bsky.social,Doc Chocolate BBC 🦋 SFW Account,did:plc:4xeflzdx7ybkl4wxs7fhv7kc,True
elpenoltepeh.bsky.social,Democritus 🇪🇦🇲🇽🇺🇸💙,did:plc:zr34tg6luojgcrbvav6xgxfo,True
cam3931.bsky.social,Cam 🍷 🇦🇺 🇺🇦🏳️‍🌈,did:plc:zo4vvxqixpnyspbn6zcdunq2,True
liveitlearn.bsky.social,Liv’n Each Day,did:plc:2y7adykognxlebewpjwt2lrj,True
sixxtoo.bsky.social,db,did:plc:5bejdzgvvsx5cv3squly4aec,True
debgorman.bsky.social,Deb Gorman,did:plc:2g57u4twhprz6czvef2t4gge,True
herobenfranklin.bsky.social,,did:plc:x2v36mzi5v3e6xixzkyztah2,True
sydneyharris.bsky.social,Bella,did:plc:gcxiuzl5hy5brxwupovhiyum,True
gmablue.bsky.social,Ani,did:plc:usvdbwp626cso4lib5urkejq,True
folingo.bsky.social,3CY Advanced NAFO lab,did:plc:no6snzxqjozeu6swuqlatpdc,True
elleoftengood.bsky.social,Elle,did:plc:lz77ghsacctpxf3rffmnheds,True
bothered1.bsky.social,Stonks,did:plc:m2tkwrgxojfpnplnotqaimou,True
raharrington.bsky.social,Robert Harrington,did:plc:f4gqduw6qze23ejqebbfeefl,True
wiccalia.bsky.social,Wiccalia SynnMalache,did:plc:bvv2merqdrbjaouqknuetl37,True
blueberties.bsky.social,BlueBerties,did:plc:vbplan6ykrlgz23gjiylqeoh,True
lisagranquist.bsky.social,Lisa Granquist PhD,did:plc:ivqnbxen7aup3gwgvck33xae,True
luckysdaddy.bsky.social,Richard Watkins,did:plc:cdvw7wav5hd2c6qo55uy7on5,True
babygirlmj.bsky.social,MJ,did:plc:unb6u5jdn32o6vmuaw5456jh,True
herkoala.bsky.social,@HerKoala,did:plc:o2b4m4xnjjo2jayd3wf43ru7,True
ddp58.bsky.social,D.D. Piper,did:plc:rqze7zlzgqhohdvwuwcpb4fp,True
goodjuju4all.bsky.social,BeeWhisperer 🐝🤫🐝,did:plc:ypqutcnqrieguugjpcsyskc4,True
cubbiesblue1234.bsky.social,Patrick ,did:plc:3ye7zhihjvhcuhq2oub5iflr,True
caroharp.bsky.social,Caro Line,did:plc:renloarduonhulwxjqecmmmb,True
ewilson-401.bsky.social,ResistanceMama,did:plc:uzhw4z3ht2hfmbltz63vd6a4,True
samgodwell.bsky.social,Sam Godwell,did:plc:37i73evh35cmm5n2k6zdghci,True
starcatcherjohn.bsky.social,StarCatcher 🇨🇦,did:plc:dksfsl7lygnhrmfxsxcznf3u,True
pamblack.bsky.social,Pam Black,did:plc:alm6z26ofbuq5jcd4gn3n3te,True
fuselighter.bsky.social,Fuselighter1977,did:plc:hr5jh2zgg242dsthbxktsu5r,True
zangerliberia.bsky.social,Resist authoritarian rule. Might already be too late ,did:plc:dx5rxubwchjo5ju5dd4ppj3s,True
therepea.bsky.social,,did:plc:huydshao4x7dlx65rcfbwbjm,True
4kiptvservice.bsky.social,,did:plc:f6rqk2yqhvqx2qzr54uwxfbv,True
michellegray03.bsky.social,MichelleG,did:plc:5wcn5zyfj2lacr4k7zewddeu,True
linmart7.bsky.social,LinMart 💙🦋🌊,did:plc:dtbj5spyh4w3frrziwmhnh5g,True
asingingfool.bsky.social,A Singing Fool,did:plc:y4axcm46bkono7qj5wlph3u3,True
gymjordan.kids,Gym Jordan,did:plc:nrtal335o4vsyop5ovs2v3ci,True
annieinnewengland.bsky.social,AnnieInNewEngland,did:plc:ktv2eervht6t7d5ybahnydr7,True
bufone.bsky.social,Buf One,did:plc:am7amvvnw2rhroqueawm3yw3,True
jbondage.bsky.social,Anonymous Vermin,did:plc:enb34t4taoizzzfymrbkzynz,True
lovebird76.bsky.social,Lovebird,did:plc:wc4c5nqh4kavt4clkflvafge,True
claudiner66.bsky.social,Wake Up America,did:plc:uw5rfxt326xzzbkkvz6jpljm,True
jones1949.bsky.social,,did:plc:lvz2i4d7y7bu6lkwphof44xw,True
kyuuhaku.bsky.social,"Ya Boi, Kyuu",did:plc:efldvzlq5mwfpcqo5emba4wi,True
r-neal.bsky.social,R. Neal,did:plc:pj3dsjk7k3j3nyag55vab443,True
weedbike.bsky.social,Weedbike,did:plc:ugauca4fpwdsok3pzq4bpcry,True
nickcorelli1.bsky.social,Nick Corelli,did:plc:rj3ca5tds5co422wsh4nytko,True
aoifebeagle.bsky.social,Aoife Beagle,did:plc:vmgcedakz2o6jnjjhefqlwxq,True
textkittycat.bsky.social,the boopstinator,did:plc:agxnd5j5jenymfyhcpfgo6yr,True
somefancygeologist.bsky.social,Some Random Dude (he/him),did:plc:kxoajq54eenuwfkdtflgkqiz,True
mni5t.bsky.social,Madeleine,did:plc:ojat2bkjd6eaqs2pait3rapj,True
vixcole.bsky.social,VixC,did:plc:zyvqlblja37k3l77jkbzjcgy,True
blancagomez.bsky.social,Blanca Gomez,did:plc:okxfd6v5qjxl5xzidn35srcb,True
bvjohnson.bsky.social,,did:plc:f4n2z2wkih72r35goqa32be5,True
carolyncatt.bsky.social,,did:plc:oo4yqekyvuimabxmitd5x5ob,True
kimitspossible.bsky.social,Kim S.,did:plc:jeh33akqpg42khnw25al3msk,True
laurieonc9.bsky.social,Laurie,did:plc:fkmfdozczr7gpri262kd4xxs,True
judithhc.bsky.social,Tired Old Wild Woman #Leguminati,did:plc:bxwivtiqon64cplfufrdh4l7,True
sdsorbet.bsky.social,SFaleris,did:plc:3zhnqb573vwsnfulvbzrljsa,True
iamstaceylynn.bsky.social,Iamstaceylynn,did:plc:7v6g66bxd6b7edcvzlwqmlgl,True
ladydead4u2.bsky.social,Lady D,did:plc:r73xewwfluqopgjbu6rx5y2x,True
