Handle,Display Name,DID,Follows Me
squirrels1963.bsky.social,,did:plc:uvsunt3xrfiupmipm5afc76m,False
dkgoe.bsky.social,Debra Goertz,did:plc:uzhqtedxeozb5yxejrky45jc,False
mkdosay.bsky.social,,did:plc:g4inm4sddpdpahkvduxsg37e,False
erinhavel.bsky.social,Erin Havel,did:plc:7d4vp6lbgbdqvbwlyooprn2w,False
lilin-t-lavin.bsky.social,⛧ 𝐋𝐢𝐥𝐢𝐧 𝐓. 𝐋𝐚𝐯𝐢𝐧 ⛧,did:plc:be4cw3pi7yeehqpff6rf3xpd,False
joleta.bsky.social,Janis Newman,did:plc:dm2qjxnr57ojw74pufwj5ups,False
deb4blue.bsky.social,Deb Hoerres,did:plc:gwgsws3zcmdys33dkm3fitf6,False
michelemanziano.bsky.social,Meidas Michele,did:plc:xpwbqwzfhn6avztzyzd4clu5,False
bright1950start.bsky.social,,did:plc:jdouz2fnzu5lm4hscmlxfjya,False
johngraham-hart.bsky.social,John Graham-Hart,did:plc:txaia2ww346wedc7izeofxud,False
leslieesc.bsky.social,Little Brown Eyed Lass,did:plc:hplobd3h5cuqqhefzwdzolzb,False
dprnesq.bsky.social,Deborah L Phillips,did:plc:un3mcvrucfl6ciom3vqqzhsj,False
buckers.bsky.social,Brian Buchanan,did:plc:fmarjxtchyeqojujrrc5npkh,False
eclipse13.bsky.social,Eclipse13 🌘,did:plc:fm3eydkrh7bgrdn5uk6cuqx5,False
anastasiasart.bsky.social,Anastasia's  Art,did:plc:ggehd4b4eerfun3uzafhuwu3,False
mudpuppy.bsky.social,Mudpuppy 🫶🏻🫶🏽🫶🏿,did:plc:zkihu7ymzqz7mnpgide2g7sc,False
nancycomics.bsky.social,NANCY COMICS BY ERNIE BUSHMILLER ,did:plc:wceu42no3rogognhbm2yxdql,False
kittycat13.bsky.social,Kitty aka Kat,did:plc:opt6xmjsho7hvrmnfthgcuyo,False
thesuzanneducharme.bsky.social,thesuzanneducharme,did:plc:vmvub7btpvmgtutxpyay2tro,False
roadunner.bsky.social,,did:plc:ulyc3dgvst62cpuczz6q2fmj,False
herddeep.bsky.social,TheDeepHerd,did:plc:on4ao4crwsgfyopjkcphjwoz,False
hbranc.bsky.social,Hbranc,did:plc:zhxhaq44nfe2igdukcoknuy3,False
vicki-salter.bsky.social,Vicki Salter 💙🕊️🐈,did:plc:xir4rp7fwiusirvawi5ej7wa,False
88steelers90.bsky.social,,did:plc:pria6fqo2uikql7zozh2cleq,False
andreajphillips.bsky.social,Andrea J. Phillips,did:plc:v3hyyblvclyv6hw2dulvdieh,False
vicbarn.bsky.social,Democracy Is Not A Spectator Sport,did:plc:n5mb2nicif6e4w6txcn4qb3t,False
bluerebels.bsky.social,Blue Rebel💙🇺🇦🌐,did:plc:7lx4pihxxy6ywkmqd5yro2u5,False
michelle0614.bsky.social,Michelle,did:plc:ia7sk3bzchl6ucme635lhi5a,False
hairytoedlib.bsky.social,HairyToedLib🏳️‍🌈💙🇺🇲,did:plc:zeozjxhk4gbpfidgp4ghxeiy,False
rosewood654.bsky.social,,did:plc:w3lxsm4cn5lageeiwex7cfzb,False
carolleisa.bsky.social,Carolleisa,did:plc:2glhhluioiyw2aj27buqhcda,False
tlwatercolors.bsky.social,tanya,did:plc:2syvfxatrnh32wtoybavk7dm,False
bluinnocence.bsky.social,(ᵒ̤̑ ₀̑ ᵒ̤̑)*✰Bluinnocence (⌯꒦ິ̆ᵔ꒦ິ)۶ᵒᵐᵍᵎᵎᵎ,did:plc:smibban7363qvyehr4iof3vm,False
surioussurious.bsky.social,Charles Cunningham,did:plc:odk6ykqze7xfs3pfimp5ybzs,False
cardigangirl.bsky.social,Cardigan Girl 💙🫶,did:plc:bij6jug2gctqxgqbnlpxdodi,False
emmygiselle.bsky.social,Emily Giesel MD,did:plc:o5h4krnpobz2ia7v4ahrgulw,False
naturehike21.bsky.social,Naturehike21,did:plc:smso3ah6frrbjuj4rwb7opkl,False
largemarge23.bsky.social,,did:plc:tcprjvkfggkmt7ljvfxh4yq3,False
tiggerlane.bsky.social,Tiggerlane,did:plc:g2fntz7ua32dd6mkoccoaphs,False
baggiesman.bsky.social,Colin Boylett  @baggiesman,did:plc:epn2cqbr53kyepxh2n4y34cu,False
annsheltonokc.bsky.social,AnnSheltonOKC,did:plc:i3uon47o7m76de3ah2a64jh4,False
vmart415.bsky.social,,did:plc:ppq4p6vmct4bg4b424blebbm,False
marigold2024.bsky.social,Concerned Canadian Citizen,did:plc:g73lvew655y5lwuoznmwa7gj,False
jaynedoh.bsky.social,Jayne Doh,did:plc:4issuxaapikybpmx2imffh5h,False
rob8570.bsky.social,Rob Madison,did:plc:uvswdtr4bch4xhpxgyawo3kg,False
drearicc.bsky.social,,did:plc:dwp2jfw24xyb24axubujspga,False
mustapha23.bsky.social,,did:plc:s6ej6vd52tyoh3fguhu3wcii,False
jenanelson.bsky.social,Jena Nelson,did:plc:phivi7a7zlzohe5gbmqx2cgl,False
tiredoldlady.bsky.social,,did:plc:uochkudol3n2rst4jbkyur4w,False
kusheil.bsky.social,Kusheil,did:plc:kosirets5p7n4cbwvvmfzbus,False
daddideffet.bsky.social,Joe Deffet,did:plc:kp2okrsikoxugrjqdgcegckk,False
janisj.bsky.social,Janis J,did:plc:k4loshmptlbynwqptcqqx3t5,False
michaelcowtan.bsky.social,MichaelCowtan,did:plc:witimscgqdn4wuh66rvhs3zd,False
deangullberry47.bsky.social,Dean Gullberry,did:plc:d3a3pxqgxmqtstvalgurmzg2,False
redwinej.bsky.social,Jonathan Redwine,did:plc:uvvjusbhecqs3eajdb4i3vsj,False
michellemoreno.bsky.social,,did:plc:45o4vqndiieqsvaz3ubutofb,False
kat-p.bsky.social,KP,did:plc:mf2gqxoj2z6ebojmvxenzupq,False
daisame.bsky.social,Mako  🐈‍⬛🎮🎯💻🚀🪐⚖️⚗️,did:plc:zeiuhn56c2oxeu7niw54nrpp,False
justarascal2u.bsky.social,Billy Carter,did:plc:qha4b2oa2vkjy43bjz5ucbuy,False
meidasdez1.bsky.social,@MeidasDez1,did:plc:wjcvdxt7dlx3wf6cnfw5jy3p,False
democracydocket.com,Democracy Docket,did:plc:bam3rkdzsg74tx5ddflbgils,False
arjoy.bsky.social,Arjoy,did:plc:uygg5cl6avunuu5mci35d7gd,False
christopher13.bsky.social,Christopher ,did:plc:4hfni6zdm5pki3wmbeqemosd,False
kim5susan.bsky.social,Kimberly,did:plc:3ajjlple5qivllc3qi5o5tgz,False
dsquareddigest.bsky.social,Dan Davies,did:plc:oogx5uk7egcpeavtomox43wn,False
megaweapon5.bsky.social,Megaweapon,did:plc:ml5jagxxsjv62fkp3qskhare,False
zachrabiroff.com,Zach Rabiroff,did:plc:yxgyxu5vgzl5t5n6x74ohudz,False
jayzero9.bsky.social,J. Lucian Blackwell,did:plc:rv6pvcit6yndb6luegjbpgwi,False
styxsmom.bsky.social,styxsmom.bsky.social,did:plc:r44isozrrh7bfnai6aykvhra,False
michael-berube.bsky.social,Michael Bérubé,did:plc:boaml3nti2qkd4glouvcdwe3,False
craigclevenger.bsky.social,Craig Clevenger,did:plc:fuepwsqufu5pbgv7nr4fev43,False
chrisblue.bsky.social,Chris Lombardi,did:plc:j4a3kqiiuzzbmnta6n4onycz,False
wxbecks.bsky.social,Becky D,did:plc:ss33olnyl6epjulg7esoquou,False
justkathy00.bsky.social,Just Kathy,did:plc:glvlqaunrpwg5nldsjx4mc3v,False
unbonfromage.bsky.social,Liam Reilly,did:plc:p25xx7srwdlkgwp4cj6sdnq2,False
grittyrev.bsky.social,GrittyRev,did:plc:hqciu55i7tc5tlzjjobe6f7g,False
