Handle,Display Name,DID,Follows Me
giladedelman.bsky.social,Gilad Edelman,did:plc:g6sfezz7gouikv5mexydf5nr,False
rachgutman.bsky.social,Rachel Gutman-Wei,did:plc:n4m5dtamqihrcaknbt7e5dgr,False
kokogiak.bsky.social,Alan Taylor,did:plc:u5aphlyws5arjjp5upnxdvqh,False
saahildesai.bsky.social,Saahil Desai,did:plc:iudxbetstg2qav5tux2hqc7o,False
engber.bsky.social,Daniel Engber,did:plc:annmqsso5dg57hrz5jaxhri4,False
yappelbaum.bsky.social,Yoni Appelbaum,did:plc:uos55pw5gp3l7u2kowz6t6s2,False
adriennelaf.bsky.social,Adrienne LaFrance,did:plc:hyjaczl6rxalzhirftxtysuj,False
elcush.bsky.social,Ellen,did:plc:qor22lgfdriocxc2k4wm5ids,False
elisehannum.bsky.social,elise hannum,did:plc:2cq6nzutaqjyhfspbxdov7rv,False
olgakhazan.bsky.social,Olga Khazan,did:plc:ytgf2rbzfycdc6bncfqhfbn4,False
amyweissmeyer.bsky.social,Amy Weiss-Meyer,did:plc:zwe5qtvwax7rev6no7q2xrlm,False
shansquared.bsky.social,Shan Wang,did:plc:gaea5oy3sf2hf6svcw3lnk4p,False
rossandersen.bsky.social,Ross Andersen,did:plc:i57mu3ybqasg5rau3zptde3i,False
demon-daddy.bsky.social,Demon Daddy,did:plc:cx6nq66pzgh55gxnctdriegy,False
onlychicks.bsky.social,Only Chicks 🔥,did:plc:lva2n3fipt642hf2ljbce3ud,False
cubicequation.bsky.social,Benny Zedrin,did:plc:iaao3qqvcyf7edmapoxlsanz,False
waxpackglam.bsky.social,Wax Pack Glam,did:plc:6aurizvdpxe5zbzii5d2iyxz,False
ankapurr22.bsky.social,Anna Purr 🐈‍⬛,did:plc:uc5iiov36yfzgqjqq63vfmch,False
canariio-tf.bsky.social,Canariio-tf,did:plc:24n3cpgsd3eshz6bqe2bjifk,False
maestercelebs99.bsky.social,MaesterCelebs99,did:plc:4efnzxzomub5xxfwm2ojjosv,False
visualprovocateur.bsky.social,Visual Provocateur,did:plc:rwdsattydri5ahvvh2ozotgq,False
realjoshgad.bsky.social,Josh Gad,did:plc:uplua2ksdv4bfk3og4sifhvb,False
ditzkoff.bsky.social,Dave Itzkoff,did:plc:buy3qvqcj3o76leo6ap7pn2p,False
senatorshoshana.bsky.social,"Shoshana Weissmann, Sloth Committee Chair 🦥",did:plc:rtopj6qyqxipxste4oppkudo,False
