Handle,Display Name,DID,Follows Me
farmmom68.bsky.social,Farmmom,did:plc:wx2kcjuyynxj7gcx7itf3jbw,False
gigicmka.bsky.social,Laura Marlin,did:plc:6iw5hxhtwo7isajfsdzx5mwl,False
jayeformi.bsky.social,,did:plc:hytojlz23en2gaaxew27ayny,False
katetess.bsky.social,Judy B,did:plc:52e4ilj474e5rbkghxnjvezd,False
blondie1111.bsky.social,Blondie1111,did:plc:3dmiacasqyifje566m6kzwn7,False
delaneymadison.bsky.social,Delaney Madison,did:plc:x5kkmz55zk2y2rsur7crpgls,False
stacymcnall.bsky.social,Stacy McNall,did:plc:jimcjdsjmoqepxbl62ycecmm,False
rulesoflloyd.bsky.social,🇺🇸Rules Of Lloyd🇺🇸,did:plc:wifd2qrsst42srlxwafjkqsi,False
bananajo.bsky.social,Bannanajo,did:plc:g6abrm6bnaaeceoecz66iqib,False
neilodonnell.bsky.social,Neil O'Donnell,did:plc:etyxifs522mp27j4kyrod22v,False
jacksdad.bsky.social,Jack's Dad,did:plc:bhg6ekoch5ffzzuoahyx3rhm,False
smashmouthxx.bsky.social,Michael,did:plc:n5dhzqhekgtnciozkx5bf2fz,False
dittie.bsky.social,Dittie,did:plc:2eggxzjikdgsfhdfejrgxij3,False
martyann.bsky.social,MartyAnn.bsky.social,did:plc:fdduju6dmtq6mq3k2vvuyjky,False
megan7oneill.bsky.social,Megan,did:plc:vc6wuqs7fai36mv2zw4ipd4x,False
eveakabailey.bsky.social,Eve AKA Bailey Childless Cat Lady #BLM #LGBTQ #EndALZ She/Her,did:plc:xmt255on3ywjsservubnccqo,False
bluefreedomquest.bsky.social,Blue Freedom Quest ,did:plc:zqbkr6tfgbtsr3evcpcx7kah,False
celineinbc.bsky.social,,did:plc:jczdgdj3c5numywd3h4va77e,False
sophieluna.bsky.social,Sophie,did:plc:c3z7upj4m35qt5y7v7gclgsa,False
coffeeohyes.bsky.social,Flanders,did:plc:kr3wulgfi3f4eb7kbflwd3lu,False
teddybequality.bsky.social,Teddy B,did:plc:bgyb4f4raugsyywm5sqspvt6,False
kathidm.bsky.social,Kathi,did:plc:46mmgfi6tg37f3i24xj373qk,False
darkopolitics.bsky.social,DARKO POLITICS,did:plc:2i73yyxl4wgksut4rufm4h7z,False
melanie448.bsky.social,melanie448,did:plc:xozj7tearvghhwkaippfudmq,False
guberneyderek60.bsky.social,RESISTANCE 🇨🇦🇺🇸✨☮️💜 Kamala 🥰,did:plc:cc5qbxccd4grlvfmoevcqlk7,False
ciciforreal.bsky.social,CiCi 🇺🇦🇵🇸,did:plc:xczybgr5agnky5up5vh22aul,False
booklioness.bsky.social,Book Lioness,did:plc:isuwfquxzxe2efqbuy3easjs,False
eschewobfuscation.bsky.social,resolute ennui,did:plc:fj3wqslk7n77ofito4hoizbk,False
jules83.bsky.social,Jules,did:plc:ltbqpghttbtibo3254ngacdu,False
katwritesaboutthat.bsky.social,Kat Hudson,did:plc:tmeyyg4gfzz7n7rrqtymh5e4,False
waltc3rd.bsky.social,Walter,did:plc:y4fjhrotg2pp5zjy7cmkm33k,False
wtfville.bsky.social,WTFville,did:plc:rhssqqkidnnentmytcpehtcq,False
lrod999.bsky.social,,did:plc:pslfqgjrnntqlrubufy4u45j,False
